Model,Accuracy,Precision,Recall,F1 Score,Training Time (sec)
SVM,0.9886877828054299,0.9887375782299946,0.9886877828054299,0.98868309996662,1.9888746738433838
Logistic Regression,0.9866767219708397,0.9868474517505459,0.9866767219708397,0.9866716027611622,6.486780643463135
Naive Bayes,0.978129713423831,0.9787496910386623,0.978129713423831,0.9776721820532632,0.11659812927246094
KNN,0.9768728004022121,0.9768138830980814,0.9768728004022121,0.9764601104982317,1.360433578491211
Random Forest,0.9348919054801408,0.9417008437730476,0.9348919054801408,0.9300749446994421,1.6608555316925049
Decision Tree,0.8780794369029663,0.8790300639083737,0.8780794369029663,0.878453094885871,7.5465898513793945
AdaBoost,0.5995475113122172,0.5988808658746839,0.5995475113122172,0.5853809176581024,48.842920780181885
